1,Title,Content,Boolean
2,Meeting Notes,Discuss quarterly report,False
3,To-Do List,Finish project tasks,True
4,Recipe,Ingredients for pasta, True
5,Book Review,Summary of "The Great Gatsby",False
6,Travel Plans,Schedule for the vacation,True
7,Budget Analysis,Monthly expenses report,False
8,Workout Plan,Exercise routines for the week,True
9,Shopping List,Groceries to buy,False
10,Project Proposal,Outline for the upcoming project,True
11,Personal Goals,Achievements for the year,False
12,Weather Forecast,Weekly weather predictions,True
13,Event Planning,Details for the upcoming event,False
14,Study Notes,Key points for the exam this is just a random text to test the capabililties of this lorem ipsum dolor sit amet,True
15,Recipe,Instructions for chocolate cake,False
16,Holiday Plans,Travel itinerary for the holidays,True
17,Health Tips,Recommendations for a healthy lifestyle,False
18,Movie List,Top movies to watch this month,True
19,Tech Update,Latest tech news and trends,False
20,Home Improvement,DIY home improvement ideas,True
